ID	ACO1	ACO2	ACO3	ACO4	ACO5	AO1	AO2	AO3	AO4	AO5	B1	B2	B3	B4	B5	BO1	BO2	BO3	BO4	BO5	CO1	CO2	CO3	CO4	CO5	nCO1	nCO2	nCO3	nCO4	nCO5
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	0.0	6.94554	0.0	0.0	0.0	5.33191	0.0	0.0	0.0	0.0	0.0	0.50103	0.0	0.0	2.6682	1.04321	0.0	1.91371	0.0	0.03382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides	0.0	6.94554	0.0	0.0	0.0	5.33191	0.0	0.0	0.0	0.0	0.0	0.50103	0.0	0.0	2.6682	1.04321	0.0	1.91371	0.0	0.03382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides|t__Leuconostoc_pseudomesenteroides_unclassified	0.0	6.94554	0.0	0.0	0.0	5.33191	0.0	0.0	0.0	0.0	0.0	0.50103	0.0	0.0	2.6682	1.04321	0.0	1.91371	0.0	0.03382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	0.0	78.11742	68.83114	5.8882	41.76324	18.20964	50.9906	15.41471	36.88483	72.2397	17.3221	0.88759	10.63364	0.0	6.68456	0.82222	0.0	2.48528	12.14874	0.02426	0.0	0.30893	0.83597	1.14453	1.05221	0.88922	6.71974	0.03562	0.94	1.12236
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria	0.0	13.33312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria|t__GCF_000193635	0.0	13.33312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_unclassified	0.0	64.7843	68.83114	5.8882	41.76324	18.20964	50.9906	15.41471	36.88483	72.2397	15.96826	0.88759	10.63364	0.0	6.68456	0.82222	0.0	2.48528	12.14874	0.02426	0.0	0.30893	0.83597	1.14453	1.05221	0.88922	6.71974	0.03562	0.94	1.12236
k__Bacteria|p__Proteobacteria	15.00058	11.76963	0.0	90.90826	45.69857	0.58269	22.80986	43.04263	32.52274	16.41062	13.86948	95.98671	82.72878	98.25294	79.89289	95.25727	99.65714	89.30484	39.61748	99.93749	91.34224	99.25884	80.1703	97.40934	96.91576	98.85402	91.15357	99.96438	98.80763	98.44122
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0	11.76963	0.0	90.90826	45.69857	0.58269	22.80986	43.04263	32.52274	16.41062	13.86948	95.98671	82.72878	98.25294	79.89289	95.25727	99.65714	88.87846	39.61748	99.93749	91.34224	99.25884	80.1703	97.40934	96.91576	98.7501	91.15357	99.96438	98.80763	98.44122
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.0	11.76963	0.0	25.95921	45.69857	0.58269	22.80986	43.04263	32.52274	16.41062	13.404	1.10481	82.72878	98.21756	79.89289	86.58929	19.74084	37.90864	38.56318	0.1881	12.45683	2.74016	18.50583	18.54117	7.40778	2.68319	24.66182	0.05141	4.4198	4.85977
